Index,Title,Value
1.1.1,Title,"Buy Caps for Men, Women & Kids Online - Myntra"
1.2.1,Title,Buy Caps For Men online at best prices in India - Amazon.in
1.3.1,Title,Caps - Buy Stylish Caps for Men Online at Best Prices In India
1.4.1,Title,Men's Caps - Puma
1.5.1,Title,Low Price Offer on Caps & Hats for Men - AJIO
1.6.1,Title,Hats & Caps: Buy Caps for Men & Women Online - Urban ...
1.7.1,Title,Men's Caps & Hats - ASOS
1.8.1,Title,CAPS Apparel - Caps tell stories.
1.1.2,Link,https://www.myntra.com
1.2.2,Link,https://www.amazon.in
1.3.2,Link,https://www.flipkart.com
1.4.2,Link,https://in.puma.com
1.5.2,Link,https://www.ajio.com
1.6.2,Link,https://www.urbanmonkey.com
1.7.2,Link,https://www.asos.com
1.8.2,Link,https://capsapparel.com
1.1.3,Content,"Caps for Men/Women Online - Buy men's caps, women's caps online in India at best rates from Myntra. ✯ Free Shipping ✯ Cash on Delivery ✯ Easy returns and ..."
1.2.3,Content,Results 1 - 12 of 30000+ — Caps: Shop for Caps For Men online at best prices in India. Choose from a wide range of Caps at Amazon.in.
1.3.3,Content,Caps - Buy Caps at India's Best Online Shopping Store. Check Price in India and Buy Online. Free Shipping.
1.4.3,Content,"PUMA Men's Caps - Shop the latest collection of PUMA Head Caps like sports, running, baseball & beanie caps for men online at lowest prices."
1.5.3,Content,"Buy Caps & Hats for Men. Huge collection of men's caps & hats at low offer price & discounts at COD, Easy Returns & Exchanges. Order Now."
1.6.3,Content,"Buy Stylish Hip Hop Unisex Cap for Rappers, Sports Enthusiasts and Streetwear culture Online at UrbanMonkey. ↩️Easy Returns ⭐FREE Shipping."
1.7.3,Content,"Discover the latest men's hats and caps with ASOS. Our stylish range includes anything from beanies, baseball caps, bucket hats & flat caps."
1.8.3,Content,"A cap webshop where people can find or create caps, buckets, beanies and more which resemble their story. Because we all have a story to tell."
2.1.1,Title,"DSW: Shoes, Boots, Sandals, Handbags, Free Shipping!"
2.2.1,Title,Men's Footwear - Upto 50% to 80% OFF on Branded ...
2.3.1,Title,"Buy Shoes for Men, Women & Kids online in India - Myntra"
2.4.1,Title,Men's Shoes Price in Nepal - Buy Shoes For Men Online - Daraz
2.5.1,Title,Caliber Shoes – Made in Nepal
2.6.1,Title,"TOMS® Official Site | Shoes, Accessories & Apparel | TOMS"
2.7.1,Title,Buy men's shoes online at up to 60% off - Amazon.in
2.8.1,Title,Shoe - Wikipedia
2.1.2,Link,https://www.dsw.com
2.2.2,Link,https://www.flipkart.com
2.3.2,Link,https://www.myntra.com
2.4.2,Link,https://www.daraz.com.np
2.5.2,Link,https://calibershoes.com
2.6.2,Link,https://www.toms.com
2.7.2,Link,https://www.amazon.in
2.8.2,Link,https://en.wikipedia.org
2.1.3,Content,"Free shipping and great prices for shoes, boots, sandals, handbags and other accessories at DSW.com!"
2.2.3,Content,"Shoes are available in plenty of options, ideal for casual wear, workout wear, and sportswear. A lot of popular brands offer their footwear online."
2.3.3,Content,"Shoes Online- Shop shoes online for Men, Women & Kids at 70% Discount in EORS.Shop from the latest collection of shoes available in various brands, ..."
2.4.3,Content,"7105 items — Shop high quality casual shoes for men, party shoes for men, leather shoes for men at best price in Kathmandu, Biratnagar and across country."
2.5.3,Content,"We are Caliber Shoes from Kathmandu, Nepal. With the vision of crafting design and comfort in footwear we set on this venture to stir domestic production ..."
2.6.3,Content,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Shop all shoes in the TOMS online store today!"
2.7.3,Content,"Results 1 - 12 of 30000+ — Shoes: Buy sports shoes, slippers, clogs, sneakers, formal shoes from Nike, Sparks, Red chief, Crocs and more at Amazon.in."
2.8.3,Content,A shoe is an item of footwear intended to protect and comfort the human foot. Shoes are also used as an item of decoration and fashion. The design of shoes ...
3.1.1,Title,Mobile Phones: Buy New Mobiles Online ... - Amazon.in
3.2.1,Title,Mobile Phones | Mobile Prices in India | Online Mobile ...
3.3.1,Title,Mobile Phones Online at Best Prices in India - Flipkart
3.4.1,Title,Mobile Phones - Latest Mobiles Online at Best Prices
3.5.1,Title,Mobile Phones Price List in Nepal 2022
3.6.1,Title,Mobiles - NDTV Gadgets 360
3.7.1,Title,Mobile Phones: Buy Mobiles Online at Best Prices in Nepal
3.8.1,Title,Mobile Phones | Smartprix
3.1.2,Link,https://www.amazon.in
3.2.2,Link,https://www.91mobiles.com
3.3.2,Link,https://www.flipkart.com
3.4.2,Link,https://www.reliancedigital.in
3.5.2,Link,https://www.gadgetbytenepal.com
3.6.2,Link,https://gadgets360.com
3.7.2,Link,https://www.dealayo.com
3.8.2,Link,https://www.smartprix.com
3.1.3,Content,Results 1 - 12 of 60000+ — Great Rebublic Day Sale | Up to 40% off on Mobiles & Accessories | No Cost EMI | Exchange Offer | Coupons.
3.2.3,Content,"Planning for Online Mobile Shopping? Visit us now to explore mobile phones including mobile prices, reviews, comparisons, features, videos, ..."
3.3.3,Content,"These mobiles are priced anywhere between Rs 500 to Rs 100,000. Top mobile brands like Samsung, Oppo, Vivo, Apple and many more are available here under ..."
3.4.3,Content,"Buy mobiles online from popular brands such as Apple, Samsung, OnePlus, Vivo and more at Reliance Digital. Get delivery in 3 hours on select mobile phones ..."
3.5.3,Content,"Latest Mobile price in Nepal (2022). Latest phones in Nepal from different brands like Samsung, Apple, Xiaomi, Oppo, Vivo, Poco, OnePlus, Nokia, Realme."
3.6.3,Content,"Find latest Mobile News on Samsung Mobiles, latest iPhone Mobile, New & Cheap Android Mobiles, New Nokia Mobiles, Latest BlackBerry Phone on NDTV Gadgets ..."
3.7.3,Content,"Items 1 - 24 of 279 — There is a reason your Mobile Phone is always with you, as you have to be in touch with your family, Relatives, friends and so on."
3.8.3,Content,"Top 3 Mobile Phones are as follows: Nothing Phone 1: 4500 mAh Battery with Fast Charging , 2.4 GHz Processor, NFC, Octa Core, Android v12 ..."
